,Date,Country,Energy_MoM,Food_MoM,Total_MoM,core_MoM,exchange_rate,unemployment_rate,gdp_growth_MoM,Open,High,Low,Close,Adj Close,Volume,interest_rate
5707,2018-02-01,Canada,2.70036625,2.70036625,2.70036625,2.70036625,104.65,6.0,0.2931632790164986,1.1703340336455268,1.15833967678564,1.1353929254469737,1.121791837789278,1.1217337224174155,1.4958834610124234,1.25
5708,2018-02-01,France,1.98090775,1.98090775,1.98090775,1.98090775,101.16,9.3,0.0208727331058966,0.7339562820303261,0.7349478347135227,0.7518980697613186,0.7336706136450811,0.7336706136450811,0.3019071636193062,0.0
5709,2018-02-01,Germany,0.7675698,0.7675698,0.7675698,0.7675698,101.11,3.3,0.2654924729871342,1.2621448146435874,1.2650671782027163,1.2784300987958732,1.263993166452095,1.263993166452095,0.4006062075607172,0.0
5710,2018-02-01,Italy,0.94516635,0.94516635,0.94516635,0.94516635,103.24,10.8,0.0332614793271605,-0.4822559620836436,-0.4776311525785893,-0.4615782126302033,-0.4806587628688538,-0.4806587628688538,-0.451397709224291,0.0
5711,2018-02-01,Japan,3.116647425,3.116647425,3.116647425,3.116647425,96.44,2.5,0.0221417441202014,0.954874404691002,0.9507141885897702,0.9446337350935604,0.9299320109557055,0.9299320109557055,0.7341828882205986,-0.1
5712,2018-02-01,United Kingdom,2.825,2.825,2.825,2.825,101.78,4.3,0.018591037151588,1.2051926179085442,1.188239580232732,1.2026805186397314,1.1796274445070891,1.1796274445070891,0.4044771203543105,0.5
5713,2018-02-01,United States,3.082159975,3.082159975,3.082159975,3.082159975,92.36,4.1,0.2194537108982139,1.8625225473622904,1.858458585920856,1.8431911825642704,1.8281233297389177,1.8281233297389177,1.8968365697773075,1.375
5714,2018-03-01,Canada,3.099461325,3.099461325,3.099461325,3.099461325,101.81,5.8,0.2931632790164986,1.0835306349883944,1.1003140486756506,1.0938001559692268,1.1086816857672053,1.1086279853273564,1.1178821106226244,1.25
5715,2018-03-01,France,2.2855295,2.2855295,2.2855295,2.2855295,101.89,9.3,0.0208727331058966,0.626222868289671,0.6323978461074043,0.6382612921242912,0.6362739959077807,0.6362739959077807,0.4209410717156149,0.0
5716,2018-03-01,Germany,1.473048425,1.473048425,1.473048425,1.473048425,101.35,3.3,0.2654924729871342,1.1567601644805598,1.1837259217431872,1.1714179361780512,1.1881424572131287,1.1881424572131287,0.692652929835069,0.0
